lotNumber,amount,method,date,note
Imm1.A1,130,CASH,18/01/2026,Cotisation Janvier 2026
Imm1.A1,260,CASH,14/03/2026,Cotisation Février et Mars 2026
Imm1.A2,140,CASH,07/02/2026,Cotisation Janvier 2026
Imm1.A4,140,CASH,31/01/2026,Cotisation Janvier 2026
Imm1.A4,140,CASH,04/03/2026,Cotisation Février 2026
Imm1.A8,280,CASH,02/03/2026,Cotisation Janvier + Février 2026
Imm1.A9,140,CASH,01/01/2026,Cotisation Janvier 2026
Imm1.A9,140,CASH,01/02/2026,Cotisation Février 2026
Imm1.A10,140,CASH,01/01/2026,Cotisation Janvier 2026
Imm1.A10,140,CASH,04/02/2026,Cotisation Février 2026
Imm1.A10,140,CASH,26/02/2026,Cotisation Mars 2026
Imm1.A12,840,CASH,04/02/2026,Cotisation de Janvier à Juin 2026
Imm1.A13,140,CASH,01/01/2026,Cotisation Janvier 2026
Imm1.A13,280,CASH,06/02/2026,Cotisation Février et Mars 2026
Imm1.A15,130,CASH,03/02/2026,Cotisation Janvier 2026
Imm1.A15,130,CASH,03/03/2026,Cotisation Février 2026
Imm1.A16,140,CASH,01/01/2026,Cotisation Janvier 2026
Imm1.A16,140,CASH,01/02/2026,Cotisation Février 2026
Imm1.A17,1680,CASH,02/01/2026,Cotisation Année 2026
