message,timestamp,severity,tags,attributes
,2026-04-13T06:31:58.368845461Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m[Region: europe-west4][0m,2026-04-13T06:32:05.801452386Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m=========================,2026-04-13T06:32:05.820352187Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
Using Detected Dockerfile,2026-04-13T06:32:05.820398054Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
=========================,2026-04-13T06:32:05.820407297Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[0m,2026-04-13T06:32:05.820415420Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
context: 89wf-bb_a,2026-04-13T06:32:05.820436235Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build definition from Dockerfile,2026-04-13T06:32:06.148518205Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:98a9016947b8cc3f18d35b3ad6fa77f70625d617ff080cc834fd6d4940444c08"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-13T06:32:06.148601618Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-13T06:32:06.14290605Z"",""digest"":""sha256:98a9016947b8cc3f18d35b3ad6fa77f70625d617ff080cc834fd6d4940444c08"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-13T06:32:06.142846151Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-13T06:32:06.148624725Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:98a9016947b8cc3f18d35b3ad6fa77f70625d617ff080cc834fd6d4940444c08"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-13T06:32:06.143392775Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-13T06:32:06.188904643Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-13T06:32:06.183596276Z"",""digest"":""sha256:98a9016947b8cc3f18d35b3ad6fa77f70625d617ff080cc834fd6d4940444c08"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-13T06:32:06.143392775Z"",""type"":""vertex""}"
