lotNumber,reference,type,building,monthlyDueAmount
G01	,Garage 01	,GARAGE,,
G02	,Garage 02	,GARAGE,,
G03	,Garage 03	,GARAGE,,
G04	,Garage 04	,GARAGE,,
G05	,Garage 05	,GARAGE,,
G06	,Garage 06	,GARAGE,,
G07	,Garage 07	,GARAGE,,
G08	,Garage 08	,GARAGE,,
G09	,Garage 09	,GARAGE,,
G10	,Garage 10	,GARAGE,,
G11	,Garage 11	,GARAGE,,
G12	,Garage 12	,GARAGE,,
G13	,Garage 13	,GARAGE,,
G14	,Garage 14	,GARAGE,,
G15	,Garage 15	,GARAGE,,
G16	,Garage 16	,GARAGE,,
G17	,Garage 17	,GARAGE,,
G18	,Garage 18	,GARAGE,,
G19	,Garage 19	,GARAGE,,
G20	,Garage 20	,GARAGE,,
G21	,Garage 21	,GARAGE,,
G22	,Garage 22	,GARAGE,,
G23	,Garage 23	,GARAGE,,
G24	,Garage 24	,GARAGE,,
G25	,Garage 25	,GARAGE,,
G26	,Garage 26	,GARAGE,,
G27	,Garage 27	,GARAGE,,
G28	,Garage 28	,GARAGE,,
G29	,Garage 29	,GARAGE,,
G30	,Garage 30	,GARAGE,,
G31	,Garage 31	,GARAGE,,
